"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2004","4042","","","AMID","AMID","H272","0469","","BENHAMOU R","11","13","2.54","3.13","85","9.1","36.4","45.5","9.1","2","0","0","1","2","1","1","3","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H277","0470","","SNYDER O","11","13","2.92","3.13","85","27.3","45.5","27.3","0.0","2","0","0","3","2","1","2","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H303","0442","","ROWOLD K","17","17","2.71","3.10","18","17.6","52.9","17.6","5.9","1","0","2","1","2","5","2","1","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H306","0443","","CHRISTIANSEN D","28","28","2.65","3.05","79","17.9","35.7","46.4","0.0","0","0","2","3","2","3","5","4","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H315","0445","","SHAFFER J","45","51","2.46","2.87","94","4.4","46.7","37.8","6.7","8","1","0","1","7","8","6","10","5","2","2","0","1","2","6","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H319","0446","","SHAFFER J","25","28","4.00","2.91","93","100.0","0.0","0.0","0.0","3","0","25","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H321","9570","","SHAFFER J","0","6",".00","3.11","100","0.0","0.0","0.0","0.0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H328","0447","","PAUL E","14","14","3.38","3.04","86","50.0","35.7","14.3","0.0","0","0","6","1","1","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H328","0448","","PAUL E","5","6","3.94","3.30","100","100.0","0.0","0.0","0.0","1","0","4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2004",
"Spring 2004","4042","","","AMID","AMID","H340","0449","","ROWOLD K","83","85","2.87","2.88","67","24.1","38.6","32.5","3.6","3","4","11","5","15","9","8","15","10","2","2","1","0","1","0","1","0","0","0","0","0","0","1","0","06-10-2004",
